Instrument,n_obs,spearman,r2
CROBEX,681,0.19493094170178682,-0.63271340810877
S&P 500,690,0.15263129873335626,-2.1466933243229267
Apple,690,0.12792840436494926,-0.8453574287378232
Germany 10Y,696,0.12765868163438168,-1.0215756186977378
Bitcoin,1033,0.09126665175387377,-3.5257381697757166
Gold,693,0.05028928012035927,-0.6341144126919982
US Treasuries (IEF),690,-0.062148085309204605,-3.920371901985601
