Instrument,n_obs,spearman,r2
Apple,690,0.1680343569600384,-0.25146000776590394
S&P 500,690,0.11577793125368645,-0.5356658952353872
Bitcoin,1033,0.10181729242637691,-0.8517867214833015
CROBEX,681,0.08990811775901948,-0.724653224260104
EUR/USD,717,0.014528661017725346,-0.47008030877952667
Germany 10Y,696,-0.005182386491962007,-0.04631372334733386
US Treasuries (IEF),690,-0.11411776966085523,-0.9300971808230662
Gold,693,-0.2650426902773379,-1.5230075393797127
