Instrument,n_obs,spearman,r2
US Treasuries (IEF),690,0.3550911644968261,0.10439290898914921
Bitcoin,1033,0.252998571299499,-9.607472081616207
Germany 10Y,696,0.1252491093591392,-0.9310036985968353
S&P 500,690,0.10517497286361474,-16.621750549868654
CROBEX,681,0.09946072720310173,-10.372439560636176
Apple,690,0.038781775467263205,-0.6757311148591452
Gold,693,-0.1515862515294839,-14.099973494127978
EUR/USD,717,-0.25284866524179006,-0.6897416809170736
