Instrument,n_obs,spearman,r2
Bitcoin,1033,0.24377774457695212,-8.028553722950612
CROBEX,681,0.12014576999178683,-9.6194244483345
Germany 10Y,696,0.06988768486968411,-0.9373668310915213
S&P 500,690,0.060641406605513266,-2.134575126670973
US Treasuries (IEF),690,0.0206414924353362,-0.20906250830856377
Apple,690,-0.017405917121980953,-0.11438554514113863
Gold,693,-0.18987660072652607,-12.573865850057011
