Instrument,n_obs,spearman,r2
Germany 10Y,696,0.2616290040746742,-9.879326934735914
Bitcoin,1033,0.20584942761742703,-10.96276289184884
US Treasuries (IEF),690,0.19496405117384916,-3.280316986848624
S&P 500,690,0.15814323235841432,-3.9408495869371354
CROBEX,681,0.024623286317616115,-20.984303243117825
Apple,690,-0.18700015986811416,-1.720653183656088
Gold,693,-0.32428369752199315,-38.99668321949717
