Instrument,n_obs,spearman,r2
Bitcoin,1033,0.18010083985476238,-12.450198722400952
Germany 10Y,696,0.12187434666073702,-10.215761846759317
S&P 500,690,0.04110474964293319,-10.153682341418385
CROBEX,681,-0.052776708235299084,-15.117433626324466
Apple,690,-0.07270891168352249,-2.540200297306051
US Treasuries (IEF),690,-0.11796421935487836,-2.1014562539509876
Gold,693,-0.1638459233832321,-49.843171328134034
EUR/USD,717,-0.17120899093692496,-1.4900151886888748
