Instrument,n_obs,spearman,r2
CROBEX,681,0.23678248387379275,-0.7799946256840866
Apple,690,0.2311464737899543,-0.16517410153185552
US Treasuries (IEF),690,0.17903104875551185,-0.8433994965561171
Bitcoin,1033,0.05464457221875578,-1.5859947430876882
Germany 10Y,696,-0.0420047469238492,-0.10597186355678301
Gold,693,-0.054503067940787256,-1.2715535870103514
S&P 500,690,-0.1326967893140968,-0.5874279546219636
