Instrument,n_obs,spearman,r2
S&P 500,690,0.18090190566170156,-0.6826535704884427
CROBEX,681,0.14728716073510315,-0.9613361678139372
Apple,690,0.1432579180363988,-0.28338125998201824
Bitcoin,1033,0.07792017515030626,-0.8987915144170728
Germany 10Y,696,0.06921782262806002,-0.03954388025822353
EUR/USD,717,0.01952511578499686,-0.5312772153203253
US Treasuries (IEF),690,-0.04584352180152667,-0.3832308831234057
Gold,693,-0.34547896549061297,-1.8211407382235256
