Instrument,n_obs,spearman,r2
CROBEX,681,0.3033148080977443,-0.9101584270627361
Apple,690,0.19160447683672663,-0.15853134869326424
Bitcoin,1033,0.08588360017928445,-1.1515675106810246
US Treasuries (IEF),690,0.05104025707484649,-0.8365117726704456
S&P 500,690,-0.04236822502298344,-0.4691391337351807
Germany 10Y,696,-0.049524628923832165,-0.1131714378062576
Gold,693,-0.08663953103375609,-1.4853374229927607
