Instrument,n_obs,spearman,r2
Bitcoin,1033,0.225956920782022,-6.2715020189604
CROBEX,681,0.15945381288147117,-8.870972042627944
US Treasuries (IEF),690,0.11281573307832023,-0.09857705208015188
Germany 10Y,696,0.06111663259531426,-0.817998756373367
S&P 500,690,0.04948822755807913,-1.118752709400391
Apple,690,-0.02338861553099461,-0.1256289853663266
Gold,693,-0.20913425848250258,-11.43724524574751
