Instrument,n_obs,spearman,r2
Apple,690,0.21633192055376488,-0.5673810508408703
Bitcoin,1033,0.19167000933134093,-0.9697109380006843
Germany 10Y,696,0.14287760074288908,-0.6713726170585481
CROBEX,681,0.11877996807838774,-0.48899538724743064
S&P 500,690,0.05747391007945054,-3.6564831821389188
US Treasuries (IEF),690,0.025173460326847936,-4.9662718497925615
EUR/USD,717,-0.011144773705240722,-2.48804335443439
Gold,693,-0.17677474846821103,-0.9431157562447643
