Instrument,n_obs,spearman,r2
S&P 500,690,0.3363814480344329,-0.2841510866124439
CROBEX,681,0.2654377333528457,-0.025751359685241004
Bitcoin,1033,0.16849876002754324,-2.0745666420434157
Apple,690,0.16153447814765243,-0.8782300009913511
Germany 10Y,696,0.14109642167307643,-0.9673243689534683
Gold,693,0.011258271238863356,-0.2033160967027252
US Treasuries (IEF),690,-0.057168593744673306,-3.7519155393948997
