Instrument,n_obs,spearman,r2
Bitcoin,1033,0.26681281940134927,-1.308684939767808
Apple,690,0.1871433417385462,-0.6227763460896474
Germany 10Y,696,0.11307811729122953,-0.6324483704301793
S&P 500,690,0.0490270755684544,-5.8681320122742715
CROBEX,681,0.01527634630761008,-8.794116362833943
EUR/USD,717,-0.02523606806354798,-2.5692819484236513
Gold,693,-0.05277037386731053,-0.9081498350921262
US Treasuries (IEF),690,-0.0942015228318731,-6.491991079523225
